+ 1.262272 2 1 tcp 1040 ------- 1 2.0 5.0 3 29
- 1.262272 2 1 tcp 1040 ------- 1 2.0 5.0 3 29
+ 1.262272 2 1 tcp 1040 ------- 1 2.0 5.0 4 30
- 1.263936 2 1 tcp 1040 ------- 1 2.0 5.0 4 30
r 1.268848 4 1 ack 40 ------- 1 5.0 2.0 2 28
+ 1.268848 1 2 ack 40 ------- 1 5.0 2.0 2 28
- 1.268848 1 2 ack 40 ------- 1 5.0 2.0 2 28
r 1.273936 2 1 tcp 1040 ------- 1 2.0 5.0 3 29
+ 1.273936 1 4 tcp 1040 ------- 1 2.0 5.0 3 29
- 1.273936 1 4 tcp 1040 ------- 1 2.0 5.0 3 29
r 1.2756 2 1 tcp 1040 ------- 1 2.0 5.0 4 30
+ 1.2756 1 4 tcp 1040 ------- 1 2.0 5.0 4 30
r 1.278912 1 2 ack 40 ------- 1 5.0 2.0 2 28
+ 1.278912 2 1 tcp 1040 ------- 1 2.0 5.0 5 31
- 1.278912 2 1 tcp 1040 ------- 1 2.0 5.0 5 31
+ 1.278912 2 1 tcp 1040 ------- 1 2.0 5.0 6 32
- 1.280576 2 1 tcp 1040 ------- 1 2.0 5.0 6 32
- 1.290576 1 4 tcp 1040 ------- 1 2.0 5.0 4 30
r 1.290576 2 1 tcp 1040 ------- 1 2.0 5.0 5 31
+ 1.290576 1 4 tcp 1040 ------- 1 2.0 5.0 5 31
r 1.29224 2 1 tcp 1040 ------- 1 2.0 5.0 6 32
+ 1.29224 1 4 tcp 1040 ------- 1 2.0 5.0 6 32
- 1.307216 1 4 tcp 1040 ------- 1 2.0 5.0 5 31
- 1.323856 1 4 tcp 1040 ------- 1 2.0 5.0 6 32
r 1.330576 1 4 tcp 1040 ------- 1 2.0 5.0 3 29
+ 1.330576 4 5 tcp 1040 ------- 1 2.0 5.0 3 29
- 1.330576 4 5 tcp 1040 ------- 1 2.0 5.0 3 29
r 1.34224 4 5 tcp 1040 ------- 1 2.0 5.0 3 29
+ 1.34224 5 4 ack 40 ------- 1 5.0 2.0 3 33
- 1.34224 5 4 ack 40 ------- 1 5.0 2.0 3 33
r 1.347216 1 4 tcp 1040 ------- 1 2.0 5.0 4 30
+ 1.347216 4 5 tcp 1040 ------- 1 2.0 5.0 4 30
- 1.347216 4 5 tcp 1040 ------- 1 2.0 5.0 4 30
r 1.352304 5 4 ack 40 ------- 1 5.0 2.0 3 33
+ 1.352304 4 1 ack 40 ------- 1 5.0 2.0 3 33
- 1.352304 4 1 ack 40 ------- 1 5.0 2.0 3 33
r 1.35888 4 5 tcp 1040 ------- 1 2.0 5.0 4 30
+ 1.35888 5 4 ack 40 ------- 1 5.0 2.0 4 34
- 1.35888 5 4 ack 40 ------- 1 5.0 2.0 4 34
r 1.363856 1 4 tcp 1040 ------- 1 2.0 5.0 5 31
+ 1.363856 4 5 tcp 1040 ------- 1 2.0 5.0 5 31
- 1.363856 4 5 tcp 1040 ------- 1 2.0 5.0 5 31
r 1.368944 5 4 ack 40 ------- 1 5.0 2.0 4 34
+ 1.368944 4 1 ack 40 ------- 1 5.0 2.0 4 34
- 1.368944 4 1 ack 40 ------- 1 5.0 2.0 4 34
r 1.37552 4 5 tcp 1040 ------- 1 2.0 5.0 5 31
+ 1.37552 5 4 ack 40 ------- 1 5.0 2.0 5 35
- 1.37552 5 4 ack 40 ------- 1 5.0 2.0 5 35
r 1.380496 1 4 tcp 1040 ------- 1 2.0 5.0 6 32
+ 1.380496 4 5 tcp 1040 ------- 1 2.0 5.0 6 32
- 1.380496 4 5 tcp 1040 ------- 1 2.0 5.0 6 32
r 1.385584 5 4 ack 40 ------- 1 5.0 2.0 5 35
+ 1.385584 4 1 ack 40 ------- 1 5.0 2.0 5 35
- 1.385584 4 1 ack 40 ------- 1 5.0 2.0 5 35
r 1.39216 4 5 tcp 1040 ------- 1 2.0 5.0 6 32
+ 1.39216 5 4 ack 40 ------- 1 5.0 2.0 6 36
- 1.39216 5 4 ack 40 ------- 1 5.0 2.0 6 36
r 1.392944 4 1 ack 40 ------- 1 5.0 2.0 3 33
+ 1.392944 1 2 ack 40 ------- 1 5.0 2.0 3 33
- 1.392944 1 2 ack 40 ------- 1 5.0 2.0 3 33
r 1.402224 5 4 ack 40 ------- 1 5.0 2.0 6 36
+ 1.402224 4 1 ack 40 ------- 1 5.0 2.0 6 36
- 1.402224 4 1 ack 40 ------- 1 5.0 2.0 6 36
r 1.403008 1 2 ack 40 ------- 1 5.0 2.0 3 33
+ 1.403008 2 1 tcp 1040 ------- 1 2.0 5.0 7 37
- 1.403008 2 1 tcp 1040 ------- 1 2.0 5.0 7 37
+ 1.403008 2 1 tcp 1040 ------- 1 2.0 5.0 8 38
- 1.404672 2 1 tcp 1040 ------- 1 2.0 5.0 8 38
r 1.409584 4 1 ack 40 ------- 1 5.0 2.0 4 34
+ 1.409584 1 2 ack 40 ------- 1 5.0 2.0 4 34
- 1.409584 1 2 ack 40 ------- 1 5.0 2.0 4 34
r 1.414672 2 1 tcp 1040 ------- 1 2.0 5.0 7 37
+ 1.414672 1 4 tcp 1040 ------- 1 2.0 5.0 7 37
- 1.414672 1 4 tcp 1040 ------- 1 2.0 5.0 7 37
r 1.416336 2 1 tcp 1040 ------- 1 2.0 5.0 8 38
+ 1.416336 1 4 tcp 1040 ------- 1 2.0 5.0 8 38
r 1.419648 1 2 ack 40 ------- 1 5.0 2.0 4 34
+ 1.419648 2 1 tcp 1040 ------- 1 2.0 5.0 9 39
- 1.419648 2 1 tcp 1040 ------- 1 2.0 5.0 9 39
+ 1.419648 2 1 tcp 1040 ------- 1 2.0 5.0 10 40
- 1.421312 2 1 tcp 1040 ------- 1 2.0 5.0 10 40
r 1.426224 4 1 ack 40 ------- 1 5.0 2.0 5 35
+ 1.426224 1 2 ack 40 ------- 1 5.0 2.0 5 35
- 1.426224 1 2 ack 40 ------- 1 5.0 2.0 5 35
- 1.431312 1 4 tcp 1040 ------- 1 2.0 5.0 8 38
r 1.431312 2 1 tcp 1040 ------- 1 2.0 5.0 9 39
+ 1.431312 1 4 tcp 1040 ------- 1 2.0 5.0 9 39
r 1.432976 2 1 tcp 1040 ------- 1 2.0 5.0 10 40
+ 1.432976 1 4 tcp 1040 ------- 1 2.0 5.0 10 40
r 1.436288 1 2 ack 40 ------- 1 5.0 2.0 5 35
+ 1.436288 2 1 tcp 1040 ------- 1 2.0 5.0 11 41
- 1.436288 2 1 tcp 1040 ------- 1 2.0 5.0 11 41
+ 1.436288 2 1 tcp 1040 ------- 1 2.0 5.0 12 42
- 1.437952 2 1 tcp 1040 ------- 1 2.0 5.0 12 42
